SOUID,    DATE,   CC, Q_CC
105608,19850925,    7,    0
105608,19850926,    7,    0
903162,19850927,    7,    0
105608,19850928,    1,    0
105608,19850929,    4,    0
105608,19850930,    8,    0
105608,19851001,    8,    0
105608,19851002,    8,    0
105608,19851003,    7,    0
105608,19851004,    7,    0
105608,19851005,    7,    0
105608,19851006,    7,    0
105608,19851007,    6,    0
105608,19851008,    7,    0
105608,19851009,    6,    0
105608,19851010,    8,    0
105608,19851011,    4,    0
105608,19851012,    3,    0
105608,19851013,    6,    0
105608,19851014,    2,    0
105608,19851015,    8,    0
105608,19851016,    5,    0
105608,19851017,    8,    0
105608,19851018,    6,    0
105608,19851019,    7,    0
105608,19851020,    8,    0
105608,19851021,    6,    0
105608,19851022,    6,    0
105608,19851023,    2,    0
105608,19851024,    3,    0
105608,19851025,    5,    0
105608,19851026,    7,    0
105608,19851027,    7,    0
105608,19851028,    5,    0
105608,19851029,    7,    0
105608,19851030,    5,    0
105608,19851031,    5,    0
105608,19851101,    5,    0
105608,19851102,    2,    0
105608,19851103,    5,    0
105608,19851104,    8,    0
105608,19851105,    6,    0
105608,19851106,    5,    0
105608,19851107,    5,    0
105608,19851108,    8,    0
105608,19851109,    8,    0
105608,19851110,    2,    0
105608,19851111,    4,    0
105608,19851112,    1,    0
105608,19851113,    3,    0
105608,19851114,    8,    0
105608,19851115,    8,    0
105608,19851116,    6,    0
105608,19851117,    5,    0
105608,19851118,    5,    0
105608,19851119,    6,    0
105608,19851120,    8,    0
105608,19851121,    6,    0
105608,19851122,    6,    0
105608,19851123,    6,    0
105608,19851124,    4,    0
105608,19851125,    5,    0
105608,19851126,    6,    0
105608,19851127,    3,    0
105608,19851128,    5,    0
105608,19851129,    4,    0
105608,19851130,    8,    0
105608,19851201,    8,    0
105608,19851202,    8,    0
105608,19851203,    7,    0
105608,19851204,    7,    0
105608,19851205,    7,    0
105608,19851206,    6,    0
105608,19851207,    8,    0
105608,19851208,    8,    0
105608,19851209,    5,    0
105608,19851210,    8,    0
903162,19851211,    8,    0
105608,19851212,    8,    0
105608,19851213,    7,    0
105608,19851214,    8,    0
105608,19851215,    6,    0
105608,19851216,    7,    0
105608,19851217,    8,    0
105608,19851218,    6,    0
105608,19851219,    6,    0
105608,19851220,    6,    0
105608,19851221,    8,    0
105608,19851222,    6,    0
105608,19851223,    7,    0
105608,19851224,    7,    0
105608,19851225,    8,    0
105608,19851226,    6,    0
105608,19851227,    2,    0
105608,19851228,    0,    0
105608,19851229,    2,    0
105608,19851230,    8,    0
105608,19851231,    8,    0
105608,19860101,    8,    0
105608,19860102,    8,    0
105608,19860103,    2,    0
105608,19860104,    6,    0
105608,19860105,    6,    0
105608,19860106,    6,    0
105608,19860107,    6,    0
105608,19860108,    8,    0
105608,19860109,    8,    0
105608,19860110,    7,    0
105608,19860111,    6,    0
105608,19860112,    6,    0
105608,19860113,    7,    0
105608,19860114,    6,    0
105608,19860115,    3,    0
105608,19860116,    5,    0
105608,19860117,    6,    0
105608,19860118,    8,    0
105608,19860119,    7,    0
105608,19860120,    7,    0
105608,19860121,    7,    0
105608,19860122,    7,    0
105608,19860123,    6,    0
105608,19860124,    1,    0
105608,19860125,    0,    0
105608,19860126,    7,    0
105608,19860127,    7,    0
105608,19860128,    8,    0
105608,19860129,    8,    0
105608,19860130,    8,    0
105608,19860131,    8,    0
105608,19860201,    8,    0
105608,19860202,    8,    0
105608,19860203,    8,    0
105608,19860204,    6,    0
105608,19860205,    6,    0
105608,19860206,    7,    0
105608,19860207,    6,    0
105608,19860208,    8,    0
105608,19860209,    8,    0
105608,19860210,    6,    0
105608,19860211,    2,    0
105608,19860212,    2,    0
105608,19860213,    2,    0
105608,19860214,    7,    0
105608,19860215,    8,    0
105608,19860216,    8,    0
105608,19860217,    6,    0
105608,19860218,    6,    0
105608,19860219,    7,    0
105608,19860220,    6,    0
105608,19860221,    8,    0
105608,19860222,    2,    0
105608,19860223,    3,    0
105608,19860224,    4,    0
105608,19860225,    6,    0
105608,19860226,    3,    0
105608,19860227,    4,    0
105608,19860228,    4,    0
105608,19860301,    3,    0
105608,19860302,    2,    0
105608,19860303,    7,    0
105608,19860304,    8,    0
105608,19860305,    7,    0
105608,19860306,    6,    0
105608,19860307,    6,    0
105608,19860308,    8,    0
105608,19860309,    8,    0
105608,19860310,    7,    0
105608,19860311,    7,    0
105608,19860312,    7,    0
105608,19860313,    7,    0
105608,19860314,    8,    0
105608,19860315,    8,    0
105608,19860316,    8,    0
105608,19860317,    6,    0
105608,19860318,    6,    0
105608,19860319,    3,    0
105608,19860320,    7,    0
105608,19860321,    8,    0
105608,19860322,    8,    0
105608,19860323,    7,    0
105608,19860324,    7,    0
105608,19860325,    6,    0
105608,19860326,    6,    0
105608,19860327,    7,    0
105608,19860328,    7,    0
105608,19860329,    6,    0
105608,19860330,    5,    0
105608,19860331,    6,    0
105608,19860401,    4,    0
105608,19860402,    6,    0
105608,19860403,    6,    0
105608,19860404,    4,    0
105608,19860405,    5,    0
105608,19860406,    4,    0
105608,19860407,    6,    0
105608,19860408,    7,    0
105608,19860409,    5,    0
105608,19860410,    6,    0
105608,19860411,    6,    0
105608,19860412,    7,    0
105608,19860413,    8,    0
105608,19860414,    8,    0
105608,19860415,    8,    0
105608,19860416,    8,    0
105608,19860417,    6,    0
105608,19860418,    7,    0
105608,19860419,    8,    0
105608,19860420,    6,    0
105608,19860421,    6,    0
105608,19860422,    7,    0
105608,19860423,    7,    0
105608,19860424,    7,    0
105608,19860425,    7,    0
105608,19860426,    7,    0
105608,19860427,    5,    0
105608,19860428,    6,    0
105608,19860429,    4,    0
105608,19860430,    8,    0
105608,19860501,    5,    0
105608,19860502,    4,    0
105608,19860503,    7,    0
105608,19860504,    6,    0
105608,19860505,    8,    0
105608,19860506,    6,    0
105608,19860507,    8,    0
105608,19860508,    7,    0
903162,19860509,    8,    0
105608,19860510,    8,    0
105608,19860511,    7,    0
105608,19860512,    8,    0
105608,19860513,    7,    0
105608,19860514,    6,    0
105608,19860515,    5,    0
105608,19860516,    4,    0
105608,19860517,    7,    0
105608,19860518,    7,    0
105608,19860519,    7,    0
105608,19860520,    7,    0
105608,19860521,    7,    0
105608,19860522,    7,    0
105608,19860523,    7,    0
105608,19860524,    7,    0
105608,19860525,    7,    0
105608,19860526,    7,    0
105608,19860527,    7,    0
105608,19860528,    5,    0
105608,19860529,    4,    0
105608,19860530,    7,    0
105608,19860531,    7,    0
105608,19860601,    7,    0
105608,19860602,    6,    0
105608,19860603,    6,    0
105608,19860604,    5,    0
105608,19860605,    5,    0
105608,19860606,    6,    0
105608,19860607,    6,    0
105608,19860608,    6,    0
105608,19860609,    7,    0
105608,19860610,    8,    0
105608,19860611,    3,    0
105608,19860612,    7,    0
903162,19860613,    8,    0
105608,19860614,    5,    0
105608,19860615,    2,    0
105608,19860616,    2,    0
105608,19860617,    7,    0
105608,19860618,    7,    0
105608,19860619,    6,    0
105608,19860620,    7,    0
105608,19860621,    5,    0
105608,19860622,    7,    0
105608,19860623,    8,    0
105608,19860624,    8,    0
105608,19860625,    7,    0
105608,19860626,    5,    0
105608,19860627,    5,    0
105608,19860628,    4,    0
105608,19860629,    4,    0
105608,19860630,    3,    0
105608,19860701,    6,    0
105608,19860702,    5,    0
105608,19860703,    7,    0
105608,19860704,    7,    0
105608,19860705,    7,    0
105608,19860706,    5,    0
105608,19860707,    6,    0
105608,19860708,    6,    0
105608,19860709,    7,    0
