 SOUID,    DATE,   QQ, Q_QQ
191076,19970303,   88,    0
191076,19970304,  119,    0
191076,19970305,   27,    0
191076,19970306,  108,    0
209967,19970307,   31,    0
191076,19970308,  167,    1
191076,19970309,  133,    0
191076,19970310,   33,    0
191076,19970311,  128,    0
191076,19970312,   31,    0
191076,19970313,   15,    0
191076,19970314,   59,    0
191076,19970315,   49,    0
191076,19970316,   16,    0
191076,19970317,   17,    0
191076,19970318,   82,    0
191076,19970319,   89,    0
191076,19970320,  155,    0
191076,19970321,  104,    0
191076,19970322,   31,    0
191076,19970323,   55,    0
191076,19970324,   84,    0
191076,19970325,   23,    0
191076,19970326,   40,    0
191076,19970327,   45,    0
191076,19970328,  136,    0
191076,19970329,  172,    0
191076,19970330,   97,    0
191076,19970331,  126,    0
191076,19970401,   67,    0
191076,19970402,   83,    0
191076,19970403,  164,    0
191076,19970404,   66,    0
191076,19970405,   68,    0
191076,19970406,   91,    0
191076,19970407,   40,    0
191076,19970408,  144,    0
191076,19970409,  215,    0
191076,19970410,  226,    0
191076,19970411,  125,    0
191076,19970412,  230,    0
191076,19970413,   84,    0
191076,19970414,   72,    0
191076,19970415,  186,    0
191076,19970416,   91,    0
191076,19970417,   62,    0
191076,19970418,   47,    0
191076,19970419,  139,    0
191076,19970420,  224,    0
191076,19970421,  117,    0
191076,19970422,  105,    0
191076,19970423,  106,    0
191076,19970424,  113,    0
191076,19970425,  116,    0
191076,19970426,   21,    0
191076,19970427,   77,    0
191076,19970428,  109,    0
191076,19970429,  128,    0
191076,19970430,  173,    0
191076,19970501,  229,    0
191076,19970502,  202,    0
191076,19970503,  158,    0
191076,19970504,   50,    0
191076,19970505,   97,    0
191076,19970506,  279,    0
191076,19970507,  155,    0
191076,19970508,  144,    0
191076,19970509,  274,    0
191076,19970510,  140,    0
191076,19970511,   81,    0
191076,19970512,   92,    0
191076,19970513,   91,    0
191076,19970514,  143,    0
191076,19970515,  211,    0
