 SOUID,    DATE,   TN, Q_TN
100919,19980722,  108,    0
100919,19980723,  114,    0
100919,19980724,   83,    0
100919,19980725,   78,    0
100919,19980726,  108,    0
100919,19980727,  114,    0
100919,19980728,  124,    0
100919,19980729,  112,    0
100919,19980730,  110,    0
100919,19980731,  107,    0
100919,19980801,  100,    0
100919,19980802,   63,    0
100919,19980803,  111,    0
100919,19980804,  103,    0
100919,19980805,  117,    0
100919,19980806,  125,    0
100919,19980807,  119,    0
100919,19980808,  133,    0
100919,19980809,  108,    0
100919,19980810,  136,    0
100919,19980811,  112,    0
100919,19980812,  121,    0
100919,19980813,  103,    0
100919,19980814,  117,    0
100919,19980815,   83,    0
100919,19980816,   95,    0
100919,19980817,  115,    0
100919,19980818,   35,    0
100919,19980819,   75,    0
100919,19980820,  109,    0
100919,19980821,  101,    0
100919,19980822,   65,    0
100919,19980823,   70,    0
100919,19980824,   77,    0
100919,19980825,   49,    0
100919,19980826,   78,    0
100919,19980827,   -1,    0
100919,19980828,   74,    0
100919,19980829,   95,    0
100919,19980830,   82,    0
100919,19980831,   82,    0
100919,19980901,  119,    0
100919,19980902,  114,    0
100919,19980903,  120,    0
100919,19980904,  102,    0
100919,19980905,  102,    0
100919,19980906,   84,    0
100919,19980907,  134,    0
100919,19980908,  137,    0
100919,19980909,  126,    0
100919,19980910,  124,    0
100919,19980911,   81,    0
100919,19980912,   30,    0
100919,19980913,   39,    0
100919,19980914,   38,    0
100919,19980915,   76,    0
100919,19980916,   74,    0
100919,19980917,   36,    0
100919,19980918,   95,    0
100919,19980919,   91,    0
100919,19980920,  124,    0
100919,19980921,   68,    0
100919,19980922,   61,    0
100919,19980923,   59,    0
100919,19980924,   61,    0
100919,19980925,   99,    0
100919,19980926,   73,    0
100919,19980927,  102,    0
100919,19980928,   91,    0
100919,19980929,   38,    0
100919,19980930,   79,    0
100919,19981001,  105,    0
100919,19981002,   90,    0
100919,19981003,   61,    0
100919,19981004,   60,    0
100919,19981005,   70,    0
100919,19981006,   76,    0
100919,19981007,   33,    0
100919,19981008,   11,    0
100919,19981009,    0,    0
100919,19981010,   75,    0
100919,19981011,   59,    0
100919,19981012,   56,    0
100919,19981013,   42,    0
100919,19981014,   75,    0
100919,19981015,   47,    0
100919,19981016,   24,    0
100919,19981017,   59,    0
100919,19981018,  -51,    0
100919,19981019,   -2,    0
100919,19981020,  -31,    0
100919,19981021,  -15,    0
100919,19981022,  119,    0
100919,19981023,   74,    0
100919,19981024,   -4,    0
100919,19981025,   57,    0
100919,19981026,    5,    0
100919,19981027,   28,    0
100919,19981028,   31,    0
100919,19981029,   45,    0
100919,19981030,   11,    0
100919,19981031,  -11,    0
100919,19981101,  -27,    0
100919,19981102,  -31,    0
100919,19981103,    3,    0
100919,19981104,   -9,    0
100919,19981105,  -18,    0
100919,19981106,  -18,    0
100919,19981107,   -8,    0
100919,19981108,   68,    0
100919,19981109,   89,    1
100919,19981110,   20,    0
100919,19981111,    5,    0
100919,19981112,   31,    0
100919,19981113,   45,    0
100919,19981114,    9,    0
100919,19981115,   17,    0
100919,19981116,  -32,    0
100919,19981117,  -42,    0
100919,19981118,  -28,    0
100919,19981119,    5,    0
100919,19981120,   -6,    0
100919,19981121,   31,    0
100919,19981122,   52,    0
100919,19981123,   39,    0
100919,19981124,   25,    0
100919,19981125,   20,    0
100919,19981126,    6,    0
100919,19981127,   24,    0
100919,19981128,   34,    0
100919,19981129,  -14,    0
100919,19981130,  -12,    0
100919,19981201,   17,    0
100919,19981202,   55,    0
100919,19981203,    9,    0
100919,19981204,  -16,    0
100919,19981205,  -21,    0
100919,19981206,  -81,    0
100919,19981207,  -81,    0
100919,19981208,    2,    0
100919,19981209,   46,    0
100919,19981210,   48,    0
100919,19981211,   39,    0
100919,19981212,   39,    0
100919,19981213,   38,    0
100919,19981214,   41,    0
100919,19981215,   37,    0
100919,19981216,   35,    0
100919,19981217,   70,    1
100919,19981218,   42,    0
100919,19981219,   14,    0
100919,19981220,  -28,    0
100919,19981221,  -78,    0
100919,19981222,  -48,    0
100919,19981223,    4,    0
100919,19981224,   -5,    0
100919,19981225,   15,    0
100919,19981226,    4,    0
100919,19981227,   10,    0
100919,19981228,  -17,    0
100919,19981229,   -8,    0
100919,19981230,    7,    0
100919,19981231,   12,    0
100919,19990101,    4,    0
100919,19990102,   43,    0
100919,19990103,   25,    0
100919,19990104,   16,    0
100919,19990105,   12,    0
100919,19990106,   25,    0
100919,19990107,   24,    0
100919,19990108,   15,    0
100919,19990109,  -40,    0
100919,19990110,  -68,    0
100919,19990111,  -65,    0
100919,19990112,  -41,    0
100919,19990113,  -15,    0
100919,19990114,    4,    0
100919,19990115,   12,    0
100919,19990116,   -3,    0
100919,19990117,    6,    0
100919,19990118,    4,    0
100919,19990119,   31,    0
100919,19990120,   25,    0
100919,19990121,    6,    0
100919,19990122,  -12,    0
100919,19990123,    8,    0
100919,19990124,   25,    0
100919,19990125,   -5,    0
100919,19990126,   -5,    0
100919,19990127,  -25,    0
100919,19990128,  -10,    0
100919,19990129,    6,    0
100919,19990130,   11,    0
100919,19990131,   44,    0
100919,19990201,   56,    0
100919,19990202,   34,    0
100919,19990203,   51,    0
100919,19990204,   64,    1
100919,19990205,   31,    0
100919,19990206,    9,    0
100919,19990207,  -28,    0
100919,19990208,  -42,    0
100919,19990209,  -44,    0
100919,19990210,  -21,    0
100919,19990211,  -17,    0
100919,19990212,    9,    0
100919,19990213,  -15,    0
100919,19990214,   -2,    0
100919,19990215,   28,    0
100919,19990216,   16,    0
100919,19990217,  -11,    0
100919,19990218,    6,    0
100919,19990219,   49,    1
100919,19990220,   24,    0
100919,19990221,   20,    0
100919,19990222,   -5,    0
100919,19990223,  -15,    0
100919,19990224,   -9,    0
100919,19990225,  -16,    0
100919,19990226,   34,    0
100919,19990227,   10,    0
100919,19990228,   19,    0
100919,19990301,   18,    0
100919,19990302,    3,    0
100919,19990303,   34,    0
100919,19990304,   12,    0
100919,19990305,    0,    0
100919,19990306,  -26,    0
100919,19990307,   14,    0
100919,19990308,  -24,    0
100919,19990309,    3,    0
100919,19990310,   -7,    0
100919,19990311,  -25,    0
100919,19990312,    6,    0
100919,19990313,   45,    0
100919,19990314,   40,    0
100919,19990315,   41,    0
100919,19990316,   58,    0
100919,19990317,   45,    0
100919,19990318,   39,    0
100919,19990319,   39,    0
100919,19990320,   33,    0
100919,19990321,   47,    0
100919,19990322,  -19,    0
100919,19990323,   14,    0
100919,19990324,   62,    0
100919,19990325,    6,    0
100919,19990326,  -10,    0
100919,19990327,  -17,    0
100919,19990328,  -50,    0
100919,19990329,   -9,    0
100919,19990330,   62,    0
100919,19990331,   -3,    0
100919,19990401,   44,    0
100919,19990402,   33,    0
100919,19990403,   58,    0
100919,19990404,   18,    0
100919,19990405,   66,    0
100919,19990406,   78,    0
100919,19990407,   62,    0
100919,19990408,   30,    0
100919,19990409,   76,    0
100919,19990410,   71,    0
100919,19990411,   42,    0
100919,19990412,   36,    0
100919,19990413,   -8,    0
100919,19990414,  -60,    0
100919,19990415,   -8,    0
100919,19990416,    2,    0
100919,19990417,  -20,    0
100919,19990418,  -24,    0
100919,19990419,  -27,    0
100919,19990420,   25,    0
100919,19990421,   30,    0
100919,19990422,   68,    0
100919,19990423,   58,    0
100919,19990424,    7,    0
100919,19990425,   30,    0
100919,19990426,   52,    0
100919,19990427,   62,    0
100919,19990428,   35,    0
100919,19990429,   29,    0
100919,19990430,    8,    0
100919,19990501,   15,    0
100919,19990502,   14,    0
100919,19990503,   55,    0
100919,19990504,   54,    0
100919,19990505,   54,    0
100919,19990506,   74,    0
100919,19990507,   80,    0
100919,19990508,   79,    0
100919,19990509,   91,    0
100919,19990510,   92,    0
100919,19990511,   90,    0
100919,19990512,   84,    0
100919,19990513,   88,    0
